iter	Passed	Remaining
467	717	815
468	718	813
469	719	811
470	720	809
471	721	807
472	722	805
473	723	803
474	725	801
475	726	799
476	727	797
477	729	796
478	730	794
479	732	793
480	733	791
481	734	789
482	735	787
483	736	785
484	737	783
485	738	781
486	739	779
487	741	778
488	743	776
489	744	774
490	745	772
491	746	770
492	747	768
493	748	766
494	749	764
495	750	762
496	753	762
497	754	760
498	755	758
499	756	756
500	758	755
501	759	753
502	760	751
503	761	749
504	762	747
505	763	745
506	764	743
507	766	741
508	767	740
509	768	738
510	769	736
511	770	734
512	771	732
513	773	731
514	774	729
515	775	727
516	776	725
517	778	724
518	779	722
519	780	720
520	781	718
521	782	716
522	784	715
523	785	713
524	786	711
525	787	710
526	789	708
527	790	706
528	791	704
529	792	702
530	793	700
531	794	699
532	796	697
533	797	695
534	798	693
535	799	692
536	800	690
537	801	688
538	802	686
539	803	684
540	804	682
541	806	681
542	807	679
543	808	677
544	809	675
545	810	674
546	811	672
547	812	670
548	813	668
549	815	666
550	816	665
551	817	663
552	819	662
553	820	660
554	821	658
555	822	656
556	823	655
557	824	653
558	825	651
559	827	650
560	828	648
561	829	646
562	830	645
563	832	643
564	833	641
565	834	639
566	835	637
567	836	636
568	837	634
569	839	633
570	840	631
571	841	629
572	842	627
573	843	626
574	844	624
575	845	622
576	846	620
577	848	619
578	849	617
579	850	615
580	851	614
581	852	612
582	853	610
583	854	608
584	856	607
585	857	605
586	858	603
587	859	602
588	860	600
589	861	598
590	862	597
591	864	595
592	865	593
593	866	592
594	867	590
595	868	588
596	869	586
597	870	585
598	871	583
599	872	581
600	873	580
601	875	578
602	876	576
603	877	575
604	878	573
605	879	571
606	880	570
607	881	568
608	882	566
609	883	565
610	884	563
611	885	561
612	887	560
613	888	558
614	889	556
615	890	555
616	891	553
617	892	551
618	893	550
619	894	548
620	895	546
621	896	545
622	898	543
623	899	541
624	900	540
625	901	538
626	902	536
627	903	535
628	904	533
629	905	531
630	906	530
631	907	528
632	908	526
633	909	525
634	911	523
635	912	522
636	913	520
637	914	518
638	915	517
639	916	515
640	917	513
641	918	512
642	919	510
643	920	509
644	921	507
645	923	505
646	924	504
647	925	502
648	926	501
649	927	499
650	928	497
651	929	496
652	930	494
653	932	493
654	933	491
655	934	490
656	936	488
657	937	487
658	939	485
659	940	484
660	942	483
661	943	481
662	945	480
663	946	479
664	948	477
665	949	476
666	951	474
667	952	473
668	953	471
669	955	470
670	956	468
671	957	467
672	959	466
673	960	464
674	961	462
675	962	461
676	963	459
677	965	458
678	966	456
679	967	455
680	968	453
681	969	452
682	971	450
683	972	449
684	973	447
685	975	446
686	976	444
687	977	443
688	978	441
689	980	440
690	981	438
691	982	437
692	983	435
693	984	434
694	985	432
695	987	431
696	988	429
697	989	428
698	990	426
699	992	425
700	993	423
701	994	422
702	995	420
703	996	418
704	998	417
705	999	416
706	1000	414
707	1001	413
708	1003	411
709	1004	410
710	1005	408
711	1006	407
712	1008	405
713	1009	404
714	1011	402
715	1012	401
716	1013	399
717	1014	398
718	1015	396
719	1016	395
720	1017	393
721	1019	392
722	1020	391
723	1022	389
724	1023	388
725	1024	386
726	1025	385
727	1026	383
728	1027	381
729	1028	380
730	1030	379
731	1031	377
732	1032	376
733	1034	374
734	1035	373
735	1036	371
736	1037	370
737	1038	368
738	1039	367
739	1041	365
740	1042	364
741	1043	362
742	1044	361
743	1045	359
744	1047	358
745	1048	356
746	1049	355
747	1050	353
748	1052	352
749	1053	351
750	1054	349
751	1055	348
752	1057	346
753	1058	345
754	1059	343
755	1060	342
756	1061	340
757	1063	339
758	1064	337
759	1065	336
760	1066	335
761	1067	333
762	1068	332
763	1069	330
764	1071	329
765	1072	327
766	1074	326
767	1075	324
768	1076	323
769	1077	321
770	1078	320
771	1080	318
772	1081	317
773	1082	315
774	1083	314
775	1085	313
776	1086	311
777	1087	310
778	1088	308
779	1089	307
780	1090	305
781	1091	304
782	1093	302
783	1094	301
784	1095	300
785	1096	298
786	1097	297
787	1099	295
788	1100	294
789	1101	292
790	1102	291
791	1103	289
792	1104	288
793	1105	286
794	1107	285
795	1108	284
796	1109	282
797	1110	281
798	1111	279
799	1113	278
800	1114	276
801	1115	275
802	1116	273
803	1118	272
804	1120	271
805	1121	269
806	1122	268
807	1123	266
808	1124	265
809	1125	264
810	1126	262
811	1127	261
812	1129	259
813	1130	258
814	1131	256
815	1132	255
816	1133	253
817	1134	252
818	1135	251
819	1137	249
820	1138	248
821	1139	246
822	1140	245
823	1141	243
824	1142	242
825	1143	240
826	1145	239
827	1146	238
828	1147	236
829	1148	235
830	1149	233
831	1151	232
832	1152	230
833	1153	229
834	1154	228
835	1155	226
836	1156	225
837	1157	223
838	1158	222
839	1159	220
840	1160	219
841	1161	218
842	1163	216
843	1164	215
844	1165	213
845	1166	212
846	1167	210
847	1168	209
848	1169	208
849	1170	206
850	1171	205
851	1173	203
852	1174	202
853	1175	200
854	1176	199
855	1177	198
856	1178	196
857	1179	195
858	1180	193
859	1181	192
860	1183	190
861	1184	189
862	1185	188
863	1186	186
864	1187	185
865	1188	183
866	1189	182
867	1190	181
868	1191	179
869	1192	178
870	1194	176
871	1195	175
872	1196	174
873	1197	172
874	1198	171
875	1199	169
876	1200	168
877	1201	166
878	1202	165
879	1203	164
880	1205	162
881	1206	161
882	1207	159
883	1208	158
884	1209	157
885	1210	155
886	1211	154
887	1212	152
888	1214	151
889	1215	150
890	1216	148
891	1217	147
892	1218	145
893	1219	144
894	1220	143
895	1221	141
896	1222	140
897	1224	139
898	1225	137
899	1226	136
900	1227	134
901	1228	133
902	1229	132
903	1230	130
904	1231	129
905	1232	127
906	1233	126
907	1235	125
908	1236	123
909	1237	122
910	1238	120
911	1239	119
912	1240	118
913	1241	116
914	1242	115
915	1243	114
916	1245	112
917	1246	111
918	1247	109
919	1248	108
920	1249	107
921	1250	105
922	1251	104
923	1252	103
924	1253	101
925	1254	100
926	1255	98
927	1257	97
928	1258	96
929	1259	94
930	1260	93
931	1261	92
932	1262	90
933	1263	89
934	1264	87
935	1265	86
936	1266	85
937	1268	83
938	1269	82
939	1270	81
940	1271	79
941	1272	78
942	1273	76
943	1274	75
944	1275	74
945	1276	72
946	1278	71
947	1279	70
948	1280	68
949	1281	67
950	1282	66
951	1283	64
952	1284	63
953	1285	61
954	1286	60
955	1288	59
956	1289	57
957	1290	56
958	1291	55
959	1292	53
960	1293	52
961	1294	51
962	1296	49
963	1297	48
964	1298	47
965	1299	45
966	1300	44
967	1301	43
968	1302	41
969	1303	40
970	1304	38
971	1306	37
972	1307	36
973	1308	34
974	1309	33
975	1310	32
976	1311	30
977	1312	29
978	1313	28
979	1314	26
980	1316	25
981	1317	24
982	1319	22
983	1320	21
984	1322	20
985	1323	18
986	1325	17
987	1326	16
988	1328	14
989	1329	13
990	1330	12
991	1332	10
992	1333	9
993	1334	8
994	1336	6
995	1337	5
996	1338	4
997	1339	2
998	1341	1
999	1342	0
